year;idhous;region;refper;hldtyp;nbpers;nbkid;aduk1;aduk2;idispy;hdbgt;idpers;sex;age;edcat;occupa;iavsy;relarp;idspou;civsta;maxcop;ownkid;edyear;mnist;nat_1;nat_2;nat_3;permit;hab_ch;plingu
2003;124341;Lake Gen;12434102;couple w;3;1;0;0;95739.60156;19565.68516;12434102;woman;42;full-tim;part-tim;inapplicable;Referenc;12434101;married;21;1;12;52.045152;Switzerl;Sweden;inapplic;inapplic;1965;french
2003;124441;Lake Gen;12444102;couple w;2;0;0;0;93795.60156;16705.21437;12444102;woman;59;compulso;child. w;inapplicable;Referenc;12444101;married;36;2;9;62.329557;Switzerl;United K;inapplic;inapplic;1966;german
2003;124521;Lake Gen;12452101;couple w;4;2;0;0;94908;13585.92403;12452101;man;45;apprenti;full-tim;inapplicable;Referenc;12452102;married;18;2;12;54.243168;Switzerl;inapplic;inapplic;inapplic;since bi;french
2003;124641;Lake Gen;12464101;one pers;1;0;0;0;53615.80078;7873.550119;12464101;woman;69;full-tim;retired;67800;Referenc;inapplicable;divorced;0;1;12;46.662048;Switzerl;inapplic;inapplic;inapplic;since bi;french
2003;124741;Lake Gen;12474102;couple w;4;2;0;0;69938;12038.92301;12474102;woman;29;apprenti;part-tim;inapplicable;Referenc;12474101;married;7;2;12;48.961824;Switzerl;inapplic;inapplic;inapplic;since bi;french
2003;124881;Lake Gen;12488102;couple w;3;0;1;0;96674.39844;17054.16112;12488102;man;57;elementa;part-tim;54000;Referenc;12488101;married;36;2;10;54.52697;Switzerl;inapplic;inapplic;inapplic;since bi;french
2003;125021;Lake Gen;12502101;one pers;1;0;0;0;49939.60156;8704.443557;12502101;man;67;PhD;retired;61200;Referenc;inapplicable;divorced;0;1;21;9.53883;France a;inapplic;inapplic;resident;1956;french
2003;125121;Lake Gen;12512102;couple w;2;0;0;0;52513.24219;7653.324663;12512102;woman;55;domestic;part-tim;inapplicable;Referenc;12512101;married;35;2;10;61.90665;Switzerl;inapplic;inapplic;inapplic;since bi;french
2003;125131;Lake Gen;12513101;lone par;6;2;2;1;69454.32813;13176.1869;12513101;woman;54;universi;part-tim;inapplicable;Referenc;inapplicable;separate;30;6;18;23.184006;Switzerl;inapplic;inapplic;inapplic;1974;french
2003;125161;Lake Gen;12516102;couple w;3;0;1;0;56329.60156;11700.88358;12516102;man;34;full-tim;full-tim;inapplicable;Referenc;12516101;married;12;0;12;55.494816;Switzerl;inapplic;inapplic;inapplic;since bi;french
2003;125221;Lake Gen;12522101;one pers;1;0;0;0;46326.60156;6889.637868;12522101;woman;62;apprenti;part-tim;15600;Referenc;inapplicable;widower/;0;2;12;49.139904;Switzerl;inapplic;inapplic;inapplic;since bi;french
2003;125431;Middlela;12543101;one pers;1;0;0;0;53159.60156;10155.71493;12543101;woman;43;vocation;full-tim;inapplicable;Referenc;inapplicable;single.;0;0;16;32.600268;Switzerl;inapplic;inapplic;inapplic;since bi;french
2003;125511;Middlela;12551102;couple w;2;0;0;0;62355.19922;9481.787374;12551102;man;70;bachelor;retired;61370;Referenc;12551101;married;48;3;13;50.816883;Switzerl;inapplic;inapplic;inapplic;since bi;french
2003;125791;Middlela;12579101;couple w;4;2;0;0;91117.20313;14559.90209;12579101;woman;43;apprenti;part-tim;inapplicable;Referenc;12579102;married;24;2;12;51.82128;Switzerl;inapplic;inapplic;inapplic;1963;french
2003;125821;Middlela;12582102;couple w;2;0;0;0;56617;9933.991872;12582102;woman;48;domestic;child. w;16800;Referenc;12582101;married;19;1;10;62.31996;Switzerl;inapplic;inapplic;inapplic;since bi;french
2003;126381;Zurich;12638101;couple w;2;0;0;0;146962.7969;23940.41879;12638101;man;41;technica;full-tim;inapplicable;Referenc;12638102;married;7;0;16;29.877832;Switzerl;inapplic;inapplic;inapplic;1995;german
2003;126471;Zurich;12647101;one pers;1;0;0;0;57903.39844;11015.90835;12647101;man;37;apprenti;full-tim;inapplicable;Referenc;inapplicable;single.;0;0;12;49.368864;Switzerl;inapplic;inapplic;inapplic;1965;german
2003;126481;Zurich;12648101;couple w;4;2;0;0;27061.45313;6300.927982;12648101;woman;41;compulso;work in;inapplicable;Referenc;12648102;married;7;2;9;67.88814;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;126521;Zurich;12652102;couple w;4;2;0;0;114166.7969;19089.43398;12652102;woman;49;bachelor;part-tim;inapplicable;Referenc;12652101;married;27;5;13;44.923256;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;126523;Zurich;12652301;couple w;3;1;1;0;29529.00195;4681.610847;12652301;woman;23;general;child. w;inapplicable;Referenc;12652304;married;0;3;10;59.28303;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;126561;Zurich;12656102;couple w;4;1;1;0;73436.24219;10646.08196;12656102;man;47;apprenti;full-tim;inapplicable;Referenc;12656101;married;26;2;12;46.010784;Italy;inapplic;inapplic;resident;1973;german
2003;126641;Zurich;12664102;couple w;5;1;2;0;118032.1016;17097.24015;12664102;woman;49;bachelor;child. w;inapplicable;Referenc;12664101;married;27;4;13;47.770374;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;126851;Zurich;12685102;lone par;3;2;0;0;60576.6875;12689.58604;12685102;woman;37;PhD;part-tim;inapplicable;Referenc;inapplicable;separate;6;2;21;11.134809;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;127061;Zurich;12706101;couple w;2;0;0;0;94819.875;13402.67398;12706101;woman;50;apprenti;part-tim;inapplicable;Referenc;12706104;separate;0;2;12;52.620096;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;127321;Zurich;12732102;couple w;2;0;0;0;75124.79688;12907.99578;12732102;woman;55;full-tim;child. w;inapplicable;Referenc;12732101;married;34;3;12;54.685824;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;127323;Zurich;12732104;one pers;1;0;0;0;35442.54688;6263.888243;12732104;woman;24;apprenti;full-tim;inapplicable;Referenc;inapplicable;single.;0;0;12;51.398976;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;127371;Zurich;12737101;one pers;1;0;0;0;60619.39844;11548.61259;12737101;woman;75;apprenti;retired;55200;Referenc;inapplicable;single.;0;0;12;48.244416;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;127601;Zurich;12760101;couple w;2;0;0;0;59204.80078;12563.13264;12760101;man;66;full-tim;retired;58800;Referenc;12760102;married;37;2;12;49.572384;Germany;inapplic;inapplic;resident;1979;german
2003;127701;Zurich;12770101;couple w;5;3;0;0;76467.79688;14703.91557;12770101;woman;48;apprenti;child. w;inapplicable;Referenc;12770102;married;20;3;12;50.620512;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;127821;Zurich;12782102;one pers;1;0;0;0;73348.39844;12758.66809;12782102;woman;61;apprenti;child. w;;Referenc;inapplicable;widower/;0;2;12;48.931296;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;127851;Zurich;12785101;one pers;1;0;0;0;72070.39844;10724.25552;12785101;man;73;full-tim;retired;25300;Referenc;inapplicable;divorced;0;2;12;48.38688;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;127881;Zurich;12788101;one pers;1;0;0;0;56930.39844;9603.420563;12788101;man;46;apprenti;full-tim;inapplicable;Referenc;inapplicable;single.;0;0;12;51.49056;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;127971;Zurich;12797102;couple w;3;1;0;0;159500.7969;21857.88909;12797102;woman;39;apprenti;child. w;inapplicable;Referenc;12797101;married;14;inapplic;12;52.472544;Switzerl;inapplic;inapplic;inapplic;since bi;inapplic
2003;127991;Zurich;12799102;other ho;6;4;0;0;56085.51563;8030.80915;12799102;woman;35;apprenti;part-tim;inapplicable;Referenc;12799101;married;8;3;12;55.28112;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;128011;Zurich;12801102;couple w;3;1;0;0;81525.79688;15206.98126;12801102;man;35;vocation;full-tim;inapplicable;Referenc;12801101;married;11;2;16;35.8777;Italy;inapplic;inapplic;resident;since bi;german
2003;128351;Zurich;12835101;couple w;2;0;0;0;51149.80078;10737.89553;12835101;woman;51;apprenti;full-tim;inapplicable;Referenc;12835102;married;5;1;12;48.799008;Switzerl;inapplic;inapplic;inapplic;1991;german
2003;128441;Zurich;12844102;couple w;3;0;1;0;151743.5938;22392.11606;12844102;woman;51;apprenti;part-tim;inapplicable;Referenc;12844101;married;34;2;12;54.792672;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;128451;Zurich;12845101;couple w;3;1;0;0;113615.7969;20505.68161;12845101;woman;40;universi;part-tim;inapplicable;Referenc;12845102;single.;10;2;18;25.351626;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;128471;Zurich;12847101;one pers;1;0;0;0;30687.40039;5762.234461;12847101;woman;56;vocation;part-tim;inapplicable;Referenc;inapplicable;single.;0;0;16;31.611784;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;128691;Zurich;12869101;one pers;1;0;0;0;28093.19531;4914.648622;12869101;woman;63;vocation;retired;30900;Referenc;inapplicable;single.;0;0;16;29.956648;Switzerl;inapplic;inapplic;inapplic;since bi;german
